SATD	  these should handled with iterator 
SATD	  verify this correct 
SATD	 for now use the same renderer everyone else future change this use new instance renderer for this data type 
SATD	  this should handled with iterator 
SATD	 sqlfilteractionjava created march adapted from colin bell  change name 
SATD	  need this one 
SATD	 jason need these 
SATD	 for now use the same renderer everyone else future change this use new instance renederer for this data type 
SATD	 bad converting url file this way problematic when the file path contains spaces 
SATD	 jason remove 
SATD	  this nasty quick  needs api this 
SATD	  delete this class copyright colin bell this library free software you can redistribute andor modify under the terms the gnu lesser general public license published the free software foundation either version the license your option any later version this library distributed the hope that will useful but without any warranty without even the implied warranty merchantability fitness for particular purpose see the gnu lesser general public license for more details you should have received copy the gnu lesser general public license along with this library not write the free software foundation inc temple place suite boston usa 
SATD	  hard coded jdbcodbc bridge jdk brings back for nvarchar columns sql server tables 
SATD	 hear evil see evil 
SATD	 when tried using length for longvarbinary that the max length the source records get the following exception exception condition data exception string data right truncation tried bit varying with data that had max length its back maximum length hardcoded for now bit varyingl 
SATD	  this right 
SATD	  this should not public check all usages and put appropriate methods api object 
SATD	 jason need these 
SATD	 jason need this getsqlpanelselected 
SATD	  rename 
SATD	  hard coded jdbcodbc bridge jdk brings back for nvarchar columns sql server tables rowid oracle 
SATD	 set the property values note this may have already been done another instance this datatype created handle different column 
SATD	 always add plugins there not good way compare plugin zips and their extracted contents the moment  determine the best way derive the filesize and checksum the plugin zip that was last extracted should keep around how about using the current releasexml file come think perhaps shouldnt computing the checksum any existing files why dont just get from the current releasexml file 
SATD	  verify this 
SATD	 multiple rows not good 
SATD	 extract this out into class like 
SATD	 there any way check for invalid input valid input includes least any printable character but could also include unprintable characters 
SATD	 cast not nice but framework doesnt meet new requirements 
SATD	 endkludge 
SATD	 total  type other can other types well 
SATD	 jason should part status bar 
SATD	 getridofthis 
SATD	 dont call super packing this frame causes problems 
SATD	  delete 
SATD	 note some dbmss such oracle not allow select rowid from table you cannot have any column name the columns clause you have there aliasing the table name seems the best way get around the problem 
SATD	 are displaying new dataset there was cell editor operation tell cancel how does this impact popup display 
SATD	 kludge want some info about the columns available for validating the user input during cell editing operations ideally would get that info inside the resultsetdataset class during the creation the columndefinition objects using various functions resultsetmetadata such isnullableidx unfortunately least some dbmss postgres hsdb the results those calls are not the same and are less accurate than the call used columnstab get the column info even more unfortunate the fact that the set attributes reported the two calls not the same with the resultsetmetadata listing things not provided getcolumns most the data provided the resultsetmetadata calls correct however the nullablenotnullable property not set correctly least two dbmss while correct for those dbmss the getcolumns info therefore collect the collumn nullability information from getcolumns and pass that info the resultset override what got from the resultsetmetadata 
SATD	 the utility class that reads and writes release info fromto the releasexml file  springinject when this class spring bean 
SATD	  this wont work when the column has values with quotes them use preparedstatements instead hmmm instead insert statements could not just create sequence and generate select statement that uses the sequence for the pkid selects distinct values that would more efficient approach that would also eliminate this quoting problem 
SATD	 the following only works returns and instanceof basemdiparentframe returns and instance dialog frame then other code must used 
SATD	 need somehow call something like panel getpanel however that doesnt apply when the user exporting from the table contents table there needs more generic way this for all tables containing data that exported where some the fields contain placeholders for now just inform the user and let them either continue abort and change the configuration manually rerun the query reload the table data and reexport 
SATD	 split these functions off into subclass basefavouriteaction 
SATD	  rename this gettabletype 
SATD	  bizarre that couldnt find valid sql drop index 
SATD	  dialog handling cancelled 
SATD	 this refactoring depends the following api methods getcreatetablesql 
SATD	 should probably create own table model but being bit slack 
SATD	  probably want allow the user set these sequence properties sequence settings 
SATD	 set expected and checksum here since dont have that information for releasexml file  can httpclient used get the bytesize releasexml can perform this check 
SATD	 here dont completely understand how these types are used all databases and havent yet had time implement support the dialects for them this exclude list will keep these less commonly used types from failing the test also since not all these types appear java and currently support compiling the code base with use the integer values for new types that were introduces java rather than the type constant name 
SATD	  delete this class unused 
SATD	  find out why kludge for some reason not able get the sheet size correctly always displays with size that causes the subpanels have their scrollbars showing add bit increase the size the panel the scrollbars are not displayed 
SATD	 copied from java doc matcherreplaceall note that backslashes and dollar signs the replacement string may cause the results different than were being treated literal replacement string dollar signs may treated references captured subsequences described above and backslashes are used escape literal characters the replacement string 
SATD	  clean this mess load plugins load all plugin jars into class loader 
SATD	  subclass these hibernate dialects provide the canpasteto api method hibernatedialect interface private static final dbdialect dbdialect new dbdialect 
SATD	 this weird dont set this the column header doesnt line with the column contents 
SATD	 required otherwise gets too wide 
SATD	 for now use the same renderer everyone else future change this use new instance renderer for this data type 
SATD	  delete 
SATD	 this refactoring depends the following dialect api methods getupdatesql 
SATD	 for pointbase type maps pointbase blob and the size isnt valid requires size for blobs then set something reasonably large like the default size size specified thats practically useless 
SATD	 should the data first cloned that the sorting doesnt take place the array that used getvalue  this must sorting done thread 
SATD	  when the earliest version supported add the following line this should help handle some problems with navigation using tab return move through cells 
SATD	 drop constraints before dropping any tables otherwise may drop the child table prior dropping its fks which would error  this should done the dialects gettabledropsql method for database specific handlingor ignoring this problem 
SATD	 silently ignore what could anyway 
SATD	 this bit hard coded but use scale here some number displays crazy 
SATD	  figure out why the selection the root node the object tree undone dont delay seems like some other thread racing set the selected node none when this happens the detail pane for the root node disappears when session first opened when objecttree frame created this really crappy and unreliable way fix this problem but hides the problem for now better understanding the architecture session creation required before proper solution can attempted rmm 
SATD	  temporary until sort out better way guidos fix 
SATD	  maybe should have checkbox allow the user toggle default value onoff some dbs like treat empty string different default value than null 
SATD	 check the error stream for problem this bit questionable since possible for processes output something stderr but continue processing but without this some problems are not seen bad argument type messages from the process 
SATD	 this  currently when precision scale have way determine this valid for the actual data the problem comes when the source dbs precisionscale are greater reported greater than the precisionscale the destination this case maximimizes both for the destination causing definition that allows digits the left the decimal trouble without looking the actual data there way tell this valid some cases will others will not for now make the scale approx onehalf the precision accomodate the most digits the left and right the decimal and hopefully that covers the majority cases 
SATD	 desired get fancy and use icons buttons instead text 
SATD	  when jdk the earliest jdk supported squirrel then remove the hardcoding the boolean data type 
SATD	  this should handled with iterator 
SATD	 work around some utc and daylight saving offsets 
SATD	 there any way check for invalid input valid input includes least any printable character but could also include unprintable characters 
SATD	  these should handled with iterator 
SATD	 this logically not sufficent try cope with the problem that there are the following contradictory rules the jdbc api doc this method should called only once per result this method should called only once per result there are more results when the following true getmoreresults getupdatecount getmoreresults returns false dont know have more results only know that isnt result set since called getupdatecount before getmoreresults because would like know the update count the first result might not allowed call getupdatecount again the intersystems cache driver for example always returns the same updatecount simple insert update delete statements not matter getmoreresults was called updatecount never gets and this will loop forever when discussed the issue with the intersystems people they just told not call getupdatecount twice that simple hope that this will cure problems with dbs that just dont care for multiple result sets 
SATD	 the call here the result desperate fight find place where the components the split had not height someone knows better way please tell ill apreciate any advice 
SATD	  springinject when this class spring bean 
SATD	  what really want here get the sql script and replace create procedure with alter procedure then put that the sql pane and not execute 
SATD	  should adding quotes user wants identifiers quoted 
SATD	 the following ugly conversion from text byte necessary because the byte class inconsistant when asked output hex does unsigned byte but when asked read back the same thing using the hex radix insists that the input must signed get around this upsize the conversion integer then truncate that byte and finally convert the byte byte yech 
SATD	 this should just bring back one table hope 
SATD	  temporary until sort out better way guidos fix iquerytokenizer 
SATD	  deal with firebirds rdb meta tables 
SATD	  deal with axion axion tables 
SATD	 handle mouse events for doubleclick creation popup dialog this happens only the jtextfield not the jtextarea can make this inner class within this method rather than separate inner class done with the keytexthandler class 
SATD	 dont use tinyint for now even though mckoi supports its notion tinyint bit not bit not compatible with other dbs and leads overflow resulting negative values which are corruption the actual value insertedupdated this not great workaround filed bug report the mailing list hopefully will get fixed soon 
SATD	  need define better approach getting dialects that dont really want ever prompt the user this case its always oracle yet may have new oracledialect some point 
