projectname,classification,commenttext
SpringFramework,SATD,//  1 will make it throw a RuntimeException - SpEL will let this through 
SpringFramework,SATD,//  simply must not bail; we don't want non-existent resources to result in an Exception 
SpringFramework,SATD,//  for now just make a new array; TODO: optimize 
SpringFramework,SATD,//  Read-write transaction -> flush the Hibernate Session.   Further check: only flush when not FlushMode.MANUAL. 
SpringFramework,SATD,//  some case would not have been really necessary but we can't know this at this point). 
SpringFramework,SATD,//  this test is a bit fragile but gets the job done proving that an   attempt was made to look up the AJ aspect. It's due to classpath issues   in .integration-tests that it's not found.
SpringFramework,SATD,//  Instantiation failure maybe too early... 
SpringFramework,SATD,/* 	 * Eat an identifier possibly qualified (meaning that it is dotted).	 * TODO AndyC Could create complete identifiers (a.b.c) here rather than a sequence of them? (a b c)	  */
SpringFramework,SATD,//  TODO: broken comparison since Mockito 2.2 upgrade   verifyIdenticalInvocations(expectedLexicalHandler actualLexicalHandler); 
SpringFramework,SATD,//  TODO don't lose generic info for the new map 
SpringFramework,SATD,//  we have work todo... 
SpringFramework,SATD,//  TODO Determine why setExceptionToRaise() is unused. 
SpringFramework,SATD,//  We don't trust the JMS provider: It might throw RuntimeException or Error. 
SpringFramework,SATD,//  TODO Future optimization - if followed by a static method call skip generating code here 
SpringFramework,SATD,//  TODO: Optimization: Process only if this() specifies a type and not an identifier. 
SpringFramework,SATD,// FIXME revisit in case of reentrant sync deadlock
SpringFramework,SATD,//  It has already caused a field error with a rejected value. 
SpringFramework,SATD,//  TODO - only handles 2-dimensional arrays 
SpringFramework,SATD,//  TODO: Make me final when deprecated methods are removed 
SpringFramework,SATD,//  TODO [SPR-13537] Change equalTo(null) to equalTo(""). 
SpringFramework,SATD,//  TODO: error? 
SpringFramework,SATD,//  Resolve plain BeanDefinition without contained name: use dummy name. 
SpringFramework,SATD,//  TODO May fail on either call: may want to tighten up definition 
SpringFramework,SATD,/* 	 * SPR-6038: detect HSQL and stop illegal locks being taken.	 * TODO: Against Quartz 2.2 this test's job doesn't actually execute anymore...	  */
SpringFramework,SATD,//  If they were numbers were they compatible? 
SpringFramework,SATD,//  TODO following lines are a workaround for Hibernate bug   If Hibernate throws an exception due to flush()   it actually HAS flushed meaning that the database   was updated outside the transaction
SpringFramework,SATD,//  TODO verify remaining output for forms 5 6 7 8 and 14 (fix whitespace)
SpringFramework,SATD,//  TODO should be able to make this assertion: need to fix target handling   in AdvisedSupport  assertEquals(target2 ((Advised) proxied).getTarget()); 
